Rank,2 or less,Over 2,Over 3,Over 4,Over 6,Over 8,Over 10,Over 12,Over 14,Over 16,Over 18,Over 20,Over 22,Over 24,Over 26,Over 28,Over 30,Over 32,Over 34,Over 36,Over 38,Over 40
O-10,,,,,,,,,,,,"$16,974.90","$16,974.90","$16,974.90","$16,974.90","$16,974.90","$16,974.90","$16,974.90","$16,974.90","$16,974.90","$16,974.90","$16,974.90"
O-9,,,,,,,,,,,,"$16,444.80","$16,682.40","$16,974.90","$16,974.90","$16,974.90","$16,974.90","$16,974.90","$16,974.90","$16,974.90","$16,974.90","$16,974.90"
O-8,"$11,635.50","$12,012.14","$12,270.00","$12,340.50","$12,656.10","$13,183.20","$13,306.20","$13,806.60","$13,950.90","$14,382.00","$15,006.30","$15,581.40","$15,965.70","$15,965.70","$15,965.70","$15,965.70","$16,365.60","$16,365.60","$16,774.20","$16,774.20","$16,774.20","$16,774.20"
O-7,"$9,668.40","$10,117.50","$10,325.40","$10,490.70","$10,789.80","$11,085.30","$11,427.00","$11,767.50","$12,109.50","$13,183.20","$14,089.80","$14,089.80","$14,089.80","$14,089.80","$14,162.10","$14,162.10","$14,445.60","$14,445.60","$14,445.60","$14,445.60","$14,445.60","$14,445.60"
O-6,"$7,332.00","$8,054.70","$8,583.30","$8,583.30","$8,616.30","$8,985.30","$9,034.50","$9,034.50","$9,547.80","$10,455.30","$10,988.10","$11,520.60","$11,823.60","$12,130.80","$12,725.40","$12,725.40","$12,979.50","$12,979.50","$12,979.50","$12,979.50","$12,979.50","$12,979.50"
O-5,"$6,112.20","$6,885.30","$7,361.70","$7,451.40","$7,749.30","$7,926.90","$8,318.10","$8,605.80","$8,976.90","$9,543.90","$9,813.90","$10,080.90","$10,384.20","$10,384.20","$10,384.20","$10,384.20","$10,384.20","$10,384.20","$10,384.20","$10,384.20","$10,384.20","$10,384.20"
O-4,"$5,273.70","$6,104.40","$6,512.40","$6,602.70","$6,980.70","$7,386.30","$7,891.80","$8,284.50","$8,557.50","$8,714.70","$8,805.30","$8,805.30","$8,805.30","$8,805.30","$8,805.30","$8,805.30","$8,805.30","$8,805.30","$8,805.30","$8,805.30","$8,805.30","$8,805.30"
O-3,"$4,636.50","$5,256.00","$5,672.40","$6,185.40","$6,482.10","$6,807.30","$7,017.30","$7,362.90","$7,543.50","$7,543.50","$7,543.50","$7,543.50","$7,543.50","$7,543.50","$7,543.50","$7,543.50","$7,543.50","$7,543.50","$7,543.50","$7,543.50","$7,543.50","$7,543.50"
O-2,"$4,006.50","$4,562.70","$5,255.10","$5,432.70","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30","$5,544.30"
O-1,"$3,477.30","$3,619.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50","$4,375.50"
O-3E,,,,"$6,185.42","$6,482.12","$6,807.16","$7,017.30","$7,362.90","$7,654.80","$7,822.80","$8,050.80","$8,050.80","$8,050.80","$8,050.80","$8,050.80","$8,050.80","$8,050.80","$8,050.80","$8,050.80","$8,050.80","$8,050.80","$8,050.80"
O-2E,,,,"$5,432.73","$5,535.32","$5,720.80","$6,018.60","$6,249.30","$6,420.60","$6,420.60","$6,420.60","$6,420.60","$6,420.60","$6,420.60","$6,420.60","$6,420.60","$6,420.60","$6,420.60","$6,420.60","$6,420.60","$6,420.60","$6,420.60"
O-1E,,,,"$4,375.64","$4,672.34","$4,844.87","$5,021.70","$5,194.80","$5,432.70","$5,432.70","$5,432.70","$5,432.70","$5,432.70","$5,432.70","$5,432.70","$5,432.70","$5,432.70","$5,432.70","$5,432.70","$5,432.70","$5,432.70","$5,432.70"
W-5,,,,,,,,,,,,"$8,520.30","$8,952.30","$9,274.50","$9,630.30","$9,630.30","$10,112.70","$10,112.70","$10,617.60","$10,617.60","$11,149.50","$11,149.50"
W-4,"$4,791.90","$5,154.30","$5,302.20","$5,447.70","$5,698.50","$5,946.60","$6,198.00","$6,575.40","$6,906.60","$7,221.90","$7,480.20","$7,731.90","$8,101.20","$8,404.80","$8,751.00","$8,751.00","$8,925.60","$8,925.60","$8,925.60","$8,925.60","$8,925.60","$8,925.60"
W-3,"$4,376.40","$4,558.20","$4,745.70","$4,806.60","$5,002.20","$5,338.00","$5,789.40","$5,978.70","$6,197.70","$6,422.70","$6,828.30","$7,101.60","$7,265.40","$7,439.10","$7,676.40","$7,676.40","$7,676.40","$7,676.40","$7,676.40","$7,676.40","$7,676.40","$7,676.40"
W-2,"$3,872.10","$4,238.40","$4,350.90","$4,428.60","$4,679.40","$5,069.70","$5,263.50","$5,453.70","$5,686.50","$5,868.60","$6,033.30","$6,230.70","$6,360.30","$6,462.90","$6,462.90","$6,462.90","$6,462.90","$6,462.90","$6,462.90","$6,462.90","$6,462.90","$6,462.90"
W-1,"$3,398.70","$3,765.00","$3,863.10","$4,071.00","$4,316.40","$4,678.80","$4,847.50","$5,084.70","$5,317.20","$5,500.20","$5,668.50","$5,873.10","$5,873.10","$5,873.10","$5,873.10","$5,873.10","$5,873.10","$5,873.10","$5,873.10","$5,873.10","$5,873.10","$5,873.10"
E-9,,,,,,,"$5,789.10","$5,920.50","$6,085.80","$6,279.90","$6,477.00","$6,790.50","$7,056.90","$7,336.20","$7,764.30","$7,764.30","$8,151.90","$8,151.90","$8,559.90","$8,559.90","$8,988.90","$8,988.80"
E-8,,,,,,"$4,739.10","$4,948.80","$5,078.40","$5,233.80","$5,402.40","$5,706.30","$5,860.50","$6,122.70","$6,268.20","$6,626.10","$6,626.10","$6,759.00","$6,759.00","$6,759.00","$6,759.00","$6,759.00","$6,759.00"
E-7,"$3,294.30","$3,595.50","$3,733.50","$3,915.30","$4,058.10","$4,302.60","$4,440.60","$4,685.10","$4,888.50","$5,027.40","$5,175.30","$5,232.60","$5,424.90","$5,528.10","$5,921.10","$5,921.10","$5,921.10","$5,921.10","$5,921.10","$5,921.10","$5,921.10","$5,921.10"
E-6,"$2,849.40","$3,135.60","$3,274.20","$3,408.60","$3,548.70","$3,864.30","$3,987.60","$4,225.50","$4,298.40","$4,351.20","$4,413.30","$4,413.30","$4,413.30","$4,413.30","$4,413.30","$4,413.30","$4,413.30","$4,413.30","$4,413.30","$4,413.30","$4,413.30","$4,413.30"
